질문,답변
모악산진달래화전축제에 참여하는 학생들을 위한 활동으로는 어떤 것들이 있는지 설명해주실 수 있을까요? 그림 그리기나 글짓기 대회의 주요 특징이 무엇인가요?,"화전놀이는 우리 고유의 전통 세시풍속 중 하나로, 전북 완주군에서는 매년 4월 화전을 부쳐먹는 행사인 모악산진달래화전축제가 개최된다. 모악산은 매년 봄 화려한 진달래가 아름다운 산으로 많은 사람들이 이 시기에 분홍빛 봄꽃을 보기 위해 완주를 찾는다. 축제는 학생들이 참여하는 그림 그리기 및 글짓기 대회, 사진촬영대회 등의 행사가 열린다. 이 밖에도 화전 전시, 대나무 솟대 전시, 옛 기와 그림 전시 등 볼거리와 즐길 거리가 풍부해 온 가족들의 정이 넘치는 화합의 장이 되고 있다."
"모악산진달래화전축제에서 화전 전시, 대나무 솟대 전시, 옛 기와 그림 전시 등 다양한 전시물이 어떻게 구성되고 어떤 주제를 다루나요? 관람객들은 어떤 즐길 거리를 기대할 수 있을까요?","화전놀이는 우리 고유의 전통 세시풍속 중 하나로, 전북 완주군에서는 매년 4월 화전을 부쳐먹는 행사인 모악산진달래화전축제가 개최된다. 모악산은 매년 봄 화려한 진달래가 아름다운 산으로 많은 사람들이 이 시기에 분홍빛 봄꽃을 보기 위해 완주를 찾는다. 축제는 학생들이 참여하는 그림 그리기 및 글짓기 대회, 사진촬영대회 등의 행사가 열린다. 이 밖에도 화전 전시, 대나무 솟대 전시, 옛 기와 그림 전시 등 볼거리와 즐길 거리가 풍부해 온 가족들의 정이 넘치는 화합의 장이 되고 있다."
모악산진달래화전축제를 방문하는 가족들을 위한 활동과 엔터테인먼트는 무엇이 있는지 알려주세요. 축제 분위기를 가족과 함께 즐기기 좋은 활동이 있을까요?,"화전놀이는 우리 고유의 전통 세시풍속 중 하나로, 전북 완주군에서는 매년 4월 화전을 부쳐먹는 행사인 모악산진달래화전축제가 개최된다. 모악산은 매년 봄 화려한 진달래가 아름다운 산으로 많은 사람들이 이 시기에 분홍빛 봄꽃을 보기 위해 완주를 찾는다. 축제는 학생들이 참여하는 그림 그리기 및 글짓기 대회, 사진촬영대회 등의 행사가 열린다. 이 밖에도 화전 전시, 대나무 솟대 전시, 옛 기와 그림 전시 등 볼거리와 즐길 거리가 풍부해 온 가족들의 정이 넘치는 화합의 장이 되고 있다."
소양벚꽃길행사는 언제 개최되나요? 축제 기간 동안 어떤 종류의 활동과 이벤트가 열리나요?,"완주의 소양마을 벚꽃길은 수령이 오래된 나무들이 봄이면 터널을 이룰 만큼 화려한 개화로 유명하다. 이러한 광경을 많은 이들에게 알리기 위해 완주소양벚꽃축제를 개최하고 있다. 이 축제는 기존에 먹거리, 엿 뽑기, 선물타기 등의 소비성 프로그램으로 일관되어 오던 것에서 탈피하여 주민들이 참여하는 축제를 지향한다. 노래 및 장기자랑, 음악공연 등의 문화공연과 사진 전시회, 어르신 한글작품 전시회, 꽃꽂이 작품 전시회, 벚꽃길 시화전의 전시행사, 주민이 직접 만들고 판매하는 먹거리와 로컬푸드 판매장터 등 다양한 프로그램이 펼쳐진다."
소양벚꽃길행사가 열리는 소양마을의 벚꽃길은 어떤 특징을 갖고 있나요? 벚꽃의 개화 시기와 화려한 광경을 간략히 설명해주실 수 있을까요?,"완주의 소양마을 벚꽃길은 수령이 오래된 나무들이 봄이면 터널을 이룰 만큼 화려한 개화로 유명하다. 이러한 광경을 많은 이들에게 알리기 위해 완주소양벚꽃축제를 개최하고 있다. 이 축제는 기존에 먹거리, 엿 뽑기, 선물타기 등의 소비성 프로그램으로 일관되어 오던 것에서 탈피하여 주민들이 참여하는 축제를 지향한다. 노래 및 장기자랑, 음악공연 등의 문화공연과 사진 전시회, 어르신 한글작품 전시회, 꽃꽂이 작품 전시회, 벚꽃길 시화전의 전시행사, 주민이 직접 만들고 판매하는 먹거리와 로컬푸드 판매장터 등 다양한 프로그램이 펼쳐진다."
"소양벚꽃길행사는 주민들의 참여를 중심으로 진행된다고 하는데, 어떤 주민 참여 활동이나 프로그램이 주요한 역할을 하는지 알려주세요.","완주의 소양마을 벚꽃길은 수령이 오래된 나무들이 봄이면 터널을 이룰 만큼 화려한 개화로 유명하다. 이러한 광경을 많은 이들에게 알리기 위해 완주소양벚꽃축제를 개최하고 있다. 이 축제는 기존에 먹거리, 엿 뽑기, 선물타기 등의 소비성 프로그램으로 일관되어 오던 것에서 탈피하여 주민들이 참여하는 축제를 지향한다. 노래 및 장기자랑, 음악공연 등의 문화공연과 사진 전시회, 어르신 한글작품 전시회, 꽃꽂이 작품 전시회, 벚꽃길 시화전의 전시행사, 주민이 직접 만들고 판매하는 먹거리와 로컬푸드 판매장터 등 다양한 프로그램이 펼쳐진다."
"소양벚꽃길행사의 문화공연 측면에서, 노래 및 장기자랑, 음악공연은 어떤 내용과 참가자들로 구성되나요? 관객들은 어떤 종류의 문화 공연을 기대할 수 있을까요?","완주의 소양마을 벚꽃길은 수령이 오래된 나무들이 봄이면 터널을 이룰 만큼 화려한 개화로 유명하다. 이러한 광경을 많은 이들에게 알리기 위해 완주소양벚꽃축제를 개최하고 있다. 이 축제는 기존에 먹거리, 엿 뽑기, 선물타기 등의 소비성 프로그램으로 일관되어 오던 것에서 탈피하여 주민들이 참여하는 축제를 지향한다. 노래 및 장기자랑, 음악공연 등의 문화공연과 사진 전시회, 어르신 한글작품 전시회, 꽃꽂이 작품 전시회, 벚꽃길 시화전의 전시행사, 주민이 직접 만들고 판매하는 먹거리와 로컬푸드 판매장터 등 다양한 프로그램이 펼쳐진다."
"소양벚꽃길행사에는 또한 다양한 전시물과 작품이 전시된다고 하는데, 어떤 종류의 작품들이 전시되며 주요 주제는 무엇인가요? 관람객들이 이러한 전시물을 감상하고 즐길 수 있는 방법이 어떻게 되나요?","완주의 소양마을 벚꽃길은 수령이 오래된 나무들이 봄이면 터널을 이룰 만큼 화려한 개화로 유명하다. 이러한 광경을 많은 이들에게 알리기 위해 완주소양벚꽃축제를 개최하고 있다. 이 축제는 기존에 먹거리, 엿 뽑기, 선물타기 등의 소비성 프로그램으로 일관되어 오던 것에서 탈피하여 주민들이 참여하는 축제를 지향한다. 노래 및 장기자랑, 음악공연 등의 문화공연과 사진 전시회, 어르신 한글작품 전시회, 꽃꽂이 작품 전시회, 벚꽃길 시화전의 전시행사, 주민이 직접 만들고 판매하는 먹거리와 로컬푸드 판매장터 등 다양한 프로그램이 펼쳐진다."
완주삼례딸기축제는 어떤 시기에 개최되나요? 축제 기간 동안 어떤 주요 이벤트와 활동이 열리나요?,"완주 삼례딸기는 다른 지역 딸기보다 당도가 높고 맛이 좋아 최고의 품질을 자랑한다. 완주군에서는 삼례딸기의 품질을 홍보하기 위해 매년 3월경에 완주삼례딸기축제를 개최하고 있다. 축제에서는 딸기 수확체험을 비롯하여 딸기 품평회, 딸기 가공식품 만들기 체험, 캐릭터 페인팅 등 딸기를 소재로 한 다양한 이벤트 행사가 진행된다. 이외에도 풍물패 길놀이, 난타공연, 딸기 가요제, 전국 비보이 및 댄스 경연대회 등의 눈과 귀를 만족시키는 문화 행사도 펼쳐진다."
완주의 삼례딸기는 다른 지역 딸기와 어떻게 다른가요? 특히 그 맛과 품질에 대한 자랑거리가 어떤가요?,"완주 삼례딸기는 다른 지역 딸기보다 당도가 높고 맛이 좋아 최고의 품질을 자랑한다. 완주군에서는 삼례딸기의 품질을 홍보하기 위해 매년 3월경에 완주삼례딸기축제를 개최하고 있다. 축제에서는 딸기 수확체험을 비롯하여 딸기 품평회, 딸기 가공식품 만들기 체험, 캐릭터 페인팅 등 딸기를 소재로 한 다양한 이벤트 행사가 진행된다. 이외에도 풍물패 길놀이, 난타공연, 딸기 가요제, 전국 비보이 및 댄스 경연대회 등의 눈과 귀를 만족시키는 문화 행사도 펼쳐진다."
완주삼례딸기축제에서 딸기 수확체험이 어떻게 진행되나요? 이 외에도 어떤 딸기와 관련된 체험 활동이 참가자들에게 제공되나요?,"완주 삼례딸기는 다른 지역 딸기보다 당도가 높고 맛이 좋아 최고의 품질을 자랑한다. 완주군에서는 삼례딸기의 품질을 홍보하기 위해 매년 3월경에 완주삼례딸기축제를 개최하고 있다. 축제에서는 딸기 수확체험을 비롯하여 딸기 품평회, 딸기 가공식품 만들기 체험, 캐릭터 페인팅 등 딸기를 소재로 한 다양한 이벤트 행사가 진행된다. 이외에도 풍물패 길놀이, 난타공연, 딸기 가요제, 전국 비보이 및 댄스 경연대회 등의 눈과 귀를 만족시키는 문화 행사도 펼쳐진다."
"완주삼례딸기축제에서 딸기 품평회는 어떻게 진행되며, 어떤 기준으로 딸기의 품질이 평가되나요?","완주 삼례딸기는 다른 지역 딸기보다 당도가 높고 맛이 좋아 최고의 품질을 자랑한다. 완주군에서는 삼례딸기의 품질을 홍보하기 위해 매년 3월경에 완주삼례딸기축제를 개최하고 있다. 축제에서는 딸기 수확체험을 비롯하여 딸기 품평회, 딸기 가공식품 만들기 체험, 캐릭터 페인팅 등 딸기를 소재로 한 다양한 이벤트 행사가 진행된다. 이외에도 풍물패 길놀이, 난타공연, 딸기 가요제, 전국 비보이 및 댄스 경연대회 등의 눈과 귀를 만족시키는 문화 행사도 펼쳐진다."
"완주삼례딸기축제에서 열리는 문화 행사 중에는 풍물패 길놀이, 난타공연, 딸기 가요제 등이 있는 것으로 알려져 있습니다. 이러한 행사들은 어떤 내용과 목적으로 열리나요?","완주 삼례딸기는 다른 지역 딸기보다 당도가 높고 맛이 좋아 최고의 품질을 자랑한다. 완주군에서는 삼례딸기의 품질을 홍보하기 위해 매년 3월경에 완주삼례딸기축제를 개최하고 있다. 축제에서는 딸기 수확체험을 비롯하여 딸기 품평회, 딸기 가공식품 만들기 체험, 캐릭터 페인팅 등 딸기를 소재로 한 다양한 이벤트 행사가 진행된다. 이외에도 풍물패 길놀이, 난타공연, 딸기 가요제, 전국 비보이 및 댄스 경연대회 등의 눈과 귀를 만족시키는 문화 행사도 펼쳐진다."
"완주 대둔산 축제의 주요 슬로건은 무엇이며, 이 축제의 주요 목표는 무엇인가요?","완주 대둔산 축제는 전북 최초 산악문화 축제로써 '내 삶에 추억을 선물하세요'라는 슬로건으로 모든 세대가 함께 추억을 만들 수 있는 축제로 열린다. 대둔산 축제는 대둔산 추억 만끽 산행(등산 비경쟁대회), 대둔산 추억의 음악다방, LED 추억의 레트로 고고장, 추억의 명랑운동회-황금메달을 잡아라, 대둔산 황금보물 찾기 등 다양한 추억 만들기 콘텐츠로 구성해 축제 방문객에게 잊지 못할 추억을 선물할 예정이다. 현장에서 다양한 이벤트 및 축제기간 대둔산 케이블카 30% 할인, 대둔산 호텔 사우나 20% 할인, 인근 관광지 할인 및 주변 카페, 식당 등 할인행사도 진행된다."
"완주 대둔산 축제에서 어떤 종류의 활동과 이벤트가 열리나요? 예를 들어, 대둔산 추억 만끽 산행과 같은 활동은 어떤 내용으로 진행되나요?","완주 대둔산 축제는 전북 최초 산악문화 축제로써 '내 삶에 추억을 선물하세요'라는 슬로건으로 모든 세대가 함께 추억을 만들 수 있는 축제로 열린다. 대둔산 축제는 대둔산 추억 만끽 산행(등산 비경쟁대회), 대둔산 추억의 음악다방, LED 추억의 레트로 고고장, 추억의 명랑운동회-황금메달을 잡아라, 대둔산 황금보물 찾기 등 다양한 추억 만들기 콘텐츠로 구성해 축제 방문객에게 잊지 못할 추억을 선물할 예정이다. 현장에서 다양한 이벤트 및 축제기간 대둔산 케이블카 30% 할인, 대둔산 호텔 사우나 20% 할인, 인근 관광지 할인 및 주변 카페, 식당 등 할인행사도 진행된다."
완주 대둔산 축제 기간 동안 방문객들에게 제공되는 다양한 혜택 및 할인 행사에 대해서 어떤 내용이 있는지 알려주세요.,"완주 대둔산 축제는 전북 최초 산악문화 축제로써 '내 삶에 추억을 선물하세요'라는 슬로건으로 모든 세대가 함께 추억을 만들 수 있는 축제로 열린다. 대둔산 축제는 대둔산 추억 만끽 산행(등산 비경쟁대회), 대둔산 추억의 음악다방, LED 추억의 레트로 고고장, 추억의 명랑운동회-황금메달을 잡아라, 대둔산 황금보물 찾기 등 다양한 추억 만들기 콘텐츠로 구성해 축제 방문객에게 잊지 못할 추억을 선물할 예정이다. 현장에서 다양한 이벤트 및 축제기간 대둔산 케이블카 30% 할인, 대둔산 호텔 사우나 20% 할인, 인근 관광지 할인 및 주변 카페, 식당 등 할인행사도 진행된다."
"완주 대둔산 축제의 주변에는 어떤 관광지가 있으며, 이러한 관광지에서는 어떤 할인 혜택을 받을 수 있나요?","완주 대둔산 축제는 전북 최초 산악문화 축제로써 '내 삶에 추억을 선물하세요'라는 슬로건으로 모든 세대가 함께 추억을 만들 수 있는 축제로 열린다. 대둔산 축제는 대둔산 추억 만끽 산행(등산 비경쟁대회), 대둔산 추억의 음악다방, LED 추억의 레트로 고고장, 추억의 명랑운동회-황금메달을 잡아라, 대둔산 황금보물 찾기 등 다양한 추억 만들기 콘텐츠로 구성해 축제 방문객에게 잊지 못할 추억을 선물할 예정이다. 현장에서 다양한 이벤트 및 축제기간 대둔산 케이블카 30% 할인, 대둔산 호텔 사우나 20% 할인, 인근 관광지 할인 및 주변 카페, 식당 등 할인행사도 진행된다."
"완주프러포즈축제는 어떤 내용으로 구성되어 있으며, 어떤 주제나 스토리텔링을 바탕으로 진행되나요?","가정의 달인 5월이면 전국 곳곳에서 가족과 연인을 위한 다양한 축제들이 열리는데 완주의 모악산 전북도립미술관에서도 특별한 축제가 진행된다. 완주프러포즈축제는 '모악산과 경각산의 사랑이야기'라는 스토리텔링을 이용한 행사로 특히 연인과 부부들이 함께 즐기며 그들의 사랑을 더 돈독히 할 수 있는 전시, 프로그램으로 구성된다. 모악산 인근 지역에서 사랑의 맹세를 하면 꼭 이루어진다는 내용으로, 모악산 근처에 위치한 전북도립미술관에서 미혼커플들의 프러포즈뿐 아니라 리마인드 프러포즈 등도 함께 진행된다. 사랑과 감사의 마음을 전하고 싶은 연인, 배우자와 함께하면 좋은 축제이다."
"완주프러포즈축제는 어떤 방식으로 연인과 부부들을 위한 특별한 경험을 제공하며, 어떤 종류의 전시와 프로그램이 포함되어 있나요?","가정의 달인 5월이면 전국 곳곳에서 가족과 연인을 위한 다양한 축제들이 열리는데 완주의 모악산 전북도립미술관에서도 특별한 축제가 진행된다. 완주프러포즈축제는 '모악산과 경각산의 사랑이야기'라는 스토리텔링을 이용한 행사로 특히 연인과 부부들이 함께 즐기며 그들의 사랑을 더 돈독히 할 수 있는 전시, 프로그램으로 구성된다. 모악산 인근 지역에서 사랑의 맹세를 하면 꼭 이루어진다는 내용으로, 모악산 근처에 위치한 전북도립미술관에서 미혼커플들의 프러포즈뿐 아니라 리마인드 프러포즈 등도 함께 진행된다. 사랑과 감사의 마음을 전하고 싶은 연인, 배우자와 함께하면 좋은 축제이다."
"완주프러포즈축제에서 모악산 근처에서 사랑의 맹세를 하면 꼭 이루어진다는 내용이 있는데, 이것에 관한 자세한 설명을 해주실 수 있을까요?","가정의 달인 5월이면 전국 곳곳에서 가족과 연인을 위한 다양한 축제들이 열리는데 완주의 모악산 전북도립미술관에서도 특별한 축제가 진행된다. 완주프러포즈축제는 '모악산과 경각산의 사랑이야기'라는 스토리텔링을 이용한 행사로 특히 연인과 부부들이 함께 즐기며 그들의 사랑을 더 돈독히 할 수 있는 전시, 프로그램으로 구성된다. 모악산 인근 지역에서 사랑의 맹세를 하면 꼭 이루어진다는 내용으로, 모악산 근처에 위치한 전북도립미술관에서 미혼커플들의 프러포즈뿐 아니라 리마인드 프러포즈 등도 함께 진행된다. 사랑과 감사의 마음을 전하고 싶은 연인, 배우자와 함께하면 좋은 축제이다."
"완주프러포즈축제에 참여하고자 하는 연인 또는 부부들은 어떻게 참가할 수 있으며, 어떤 경험을 기대할 수 있을까요?","가정의 달인 5월이면 전국 곳곳에서 가족과 연인을 위한 다양한 축제들이 열리는데 완주의 모악산 전북도립미술관에서도 특별한 축제가 진행된다. 완주프러포즈축제는 '모악산과 경각산의 사랑이야기'라는 스토리텔링을 이용한 행사로 특히 연인과 부부들이 함께 즐기며 그들의 사랑을 더 돈독히 할 수 있는 전시, 프로그램으로 구성된다. 모악산 인근 지역에서 사랑의 맹세를 하면 꼭 이루어진다는 내용으로, 모악산 근처에 위치한 전북도립미술관에서 미혼커플들의 프러포즈뿐 아니라 리마인드 프러포즈 등도 함께 진행된다. 사랑과 감사의 마음을 전하고 싶은 연인, 배우자와 함께하면 좋은 축제이다."
"완주소싸움대회는 어떤 종류의 대회이며, 어떤 유형의 소들이 참가하나요?",완주군 화산면은 전국의 한우생산지 중 면단위 기준으로 최대의 한우 생산과 품질을 자랑한다. 한해동안 열심히 키운 소들을 대회에 내보내 기량을 선보인다. 같이 열리는 장터에서는 신선하고 좋은 품질의 한우를 시식 및 구매할 수 있다. 600kg에서 800kg대의 거대한 한우들의 힘겨루기를 바라보며 소들의 우직함과 끈기에 대해 많은 관중들과 함께 열광하고 응원할 수 있는 화합의 장이다.
완주소싸움대회에서 소들은 어떤 기량을 선보이며 어떤 종류의 경기를 벌이나요?,완주군 화산면은 전국의 한우생산지 중 면단위 기준으로 최대의 한우 생산과 품질을 자랑한다. 한해동안 열심히 키운 소들을 대회에 내보내 기량을 선보인다. 같이 열리는 장터에서는 신선하고 좋은 품질의 한우를 시식 및 구매할 수 있다. 600kg에서 800kg대의 거대한 한우들의 힘겨루기를 바라보며 소들의 우직함과 끈기에 대해 많은 관중들과 함께 열광하고 응원할 수 있는 화합의 장이다.
완주소싸움대회가 열리는 장터에서는 어떤 활동이 가능하며 어떤 종류의 한우를 시식하거나 구매할 수 있을까요?,완주군 화산면은 전국의 한우생산지 중 면단위 기준으로 최대의 한우 생산과 품질을 자랑한다. 한해동안 열심히 키운 소들을 대회에 내보내 기량을 선보인다. 같이 열리는 장터에서는 신선하고 좋은 품질의 한우를 시식 및 구매할 수 있다. 600kg에서 800kg대의 거대한 한우들의 힘겨루기를 바라보며 소들의 우직함과 끈기에 대해 많은 관중들과 함께 열광하고 응원할 수 있는 화합의 장이다.
"완주소싸움대회에서 거대한 한우들의 힘겨루기는 관중들과 함께 열광하며 응원할 수 있는 특별한 경험을 제공하는 것으로 알고 있는데, 관중이 대회를 관람하는 방식에 대해 설명해주실 수 있을까요?",완주군 화산면은 전국의 한우생산지 중 면단위 기준으로 최대의 한우 생산과 품질을 자랑한다. 한해동안 열심히 키운 소들을 대회에 내보내 기량을 선보인다. 같이 열리는 장터에서는 신선하고 좋은 품질의 한우를 시식 및 구매할 수 있다. 600kg에서 800kg대의 거대한 한우들의 힘겨루기를 바라보며 소들의 우직함과 끈기에 대해 많은 관중들과 함께 열광하고 응원할 수 있는 화합의 장이다.
풍류아티스트 임동창의 풍류학교에서 개최되는 풍류축제는 어떤 내용과 목적으로 열리나요?,"피아니스트이자 작곡가인 풍류아티스트 임동창은 전북 완주군에 자신의 풍류학교를 세웠다. 건강하고 행복하며 아름다운 삶을 사는법과, 말그대로 잘놀고 즐기는 법을 가르치는 그의 풍류학교는 더 많은 사람들과 행복을 나누기 위해 축제를 개최한다. 세계에서 격찬하는 '수제천'등의 한국음악을 테마로 연주자와 관객들의 창의력과 내면을 번데기가 나비로 탈바꿈하듯, 굴레에서 벗어나 자유로이 표출할 수 있는 행사이며 국외의 유명한 거장들도 관심을 가지는 신명나는 축제이다."
풍류축제는 어떤 종류의 음악을 주제로 하며 어떤 행사와 프로그램을 포함하고 있나요?,"피아니스트이자 작곡가인 풍류아티스트 임동창은 전북 완주군에 자신의 풍류학교를 세웠다. 건강하고 행복하며 아름다운 삶을 사는법과, 말그대로 잘놀고 즐기는 법을 가르치는 그의 풍류학교는 더 많은 사람들과 행복을 나누기 위해 축제를 개최한다. 세계에서 격찬하는 '수제천'등의 한국음악을 테마로 연주자와 관객들의 창의력과 내면을 번데기가 나비로 탈바꿈하듯, 굴레에서 벗어나 자유로이 표출할 수 있는 행사이며 국외의 유명한 거장들도 관심을 가지는 신명나는 축제이다."
임동창의 풍류학교와 풍류축제가 가르치는 주제와 가치는 어떻게 관객들에게 전해지나요?,"피아니스트이자 작곡가인 풍류아티스트 임동창은 전북 완주군에 자신의 풍류학교를 세웠다. 건강하고 행복하며 아름다운 삶을 사는법과, 말그대로 잘놀고 즐기는 법을 가르치는 그의 풍류학교는 더 많은 사람들과 행복을 나누기 위해 축제를 개최한다. 세계에서 격찬하는 '수제천'등의 한국음악을 테마로 연주자와 관객들의 창의력과 내면을 번데기가 나비로 탈바꿈하듯, 굴레에서 벗어나 자유로이 표출할 수 있는 행사이며 국외의 유명한 거장들도 관심을 가지는 신명나는 축제이다."
"풍류축제에는 어떤 연주자와 관객들이 참여하며, 이 축제가 창의력과 내면을 표출할 수 있는 특별한 방법으로 어떻게 이루어지는지 설명해주실 수 있을까요?","피아니스트이자 작곡가인 풍류아티스트 임동창은 전북 완주군에 자신의 풍류학교를 세웠다. 건강하고 행복하며 아름다운 삶을 사는법과, 말그대로 잘놀고 즐기는 법을 가르치는 그의 풍류학교는 더 많은 사람들과 행복을 나누기 위해 축제를 개최한다. 세계에서 격찬하는 '수제천'등의 한국음악을 테마로 연주자와 관객들의 창의력과 내면을 번데기가 나비로 탈바꿈하듯, 굴레에서 벗어나 자유로이 표출할 수 있는 행사이며 국외의 유명한 거장들도 관심을 가지는 신명나는 축제이다."
완주군에서 개최되는 나라꽃무궁화전국축제는 어떤 목적으로 열리며 어떤 테마를 가지고 있나요?,"무궁화는 매년 여름 만개하여 가을까지 약 100일동안 피고 지고를 반복하며 무궁하게 그 생명을 이어간다.  또한 얼핏보면 떨어져있는 것 같지만 알고보면 통꽃인 형태가 마치 우리민족의 근원과 단결, 협동심같이 하나임을 뜻하는 것처럼 여겨져 한국의 국화가 되었다. 완주군은 산림청으로부터 무궁화 테마도시로 지정받은 이후 매년 8월 15일이면 축제를 개최해 무궁화의 아름다움과 우수성을 알린다. 축제를 방문하는 이들에게 무궁화 화분도 선착순으로 나누어주며 관련한 음식과 전시, 체험 프로그램도 운영하니 아이들에게 우리나라의 국화에 대해 자세히 그리고 재미있게 알려줄 수 있는 뜻깊은 축제이다."
나라꽃무궁화전국축제는 어느 시기에 열리며 어떤 종류의 프로그램과 행사가 포함되어 있나요?,"무궁화는 매년 여름 만개하여 가을까지 약 100일동안 피고 지고를 반복하며 무궁하게 그 생명을 이어간다.  또한 얼핏보면 떨어져있는 것 같지만 알고보면 통꽃인 형태가 마치 우리민족의 근원과 단결, 협동심같이 하나임을 뜻하는 것처럼 여겨져 한국의 국화가 되었다. 완주군은 산림청으로부터 무궁화 테마도시로 지정받은 이후 매년 8월 15일이면 축제를 개최해 무궁화의 아름다움과 우수성을 알린다. 축제를 방문하는 이들에게 무궁화 화분도 선착순으로 나누어주며 관련한 음식과 전시, 체험 프로그램도 운영하니 아이들에게 우리나라의 국화에 대해 자세히 그리고 재미있게 알려줄 수 있는 뜻깊은 축제이다."
"나라꽃무궁화전국축제를 방문하는 이들에게 어떤 혜택이나 선물이 제공되며, 축제 기간 동안 어떤 음식, 전시, 체험 프로그램을 즐길 수 있는지 설명해주실 수 있을까요?","무궁화는 매년 여름 만개하여 가을까지 약 100일동안 피고 지고를 반복하며 무궁하게 그 생명을 이어간다.  또한 얼핏보면 떨어져있는 것 같지만 알고보면 통꽃인 형태가 마치 우리민족의 근원과 단결, 협동심같이 하나임을 뜻하는 것처럼 여겨져 한국의 국화가 되었다. 완주군은 산림청으로부터 무궁화 테마도시로 지정받은 이후 매년 8월 15일이면 축제를 개최해 무궁화의 아름다움과 우수성을 알린다. 축제를 방문하는 이들에게 무궁화 화분도 선착순으로 나누어주며 관련한 음식과 전시, 체험 프로그램도 운영하니 아이들에게 우리나라의 국화에 대해 자세히 그리고 재미있게 알려줄 수 있는 뜻깊은 축제이다."
"나라꽃무궁화전국축제는 왜 무궁화를 주요 테마로 삼으며, 무궁화가 한국의 국화로서 어떤 상징성을 가지고 있는지 알려주실 수 있나요?","무궁화는 매년 여름 만개하여 가을까지 약 100일동안 피고 지고를 반복하며 무궁하게 그 생명을 이어간다.  또한 얼핏보면 떨어져있는 것 같지만 알고보면 통꽃인 형태가 마치 우리민족의 근원과 단결, 협동심같이 하나임을 뜻하는 것처럼 여겨져 한국의 국화가 되었다. 완주군은 산림청으로부터 무궁화 테마도시로 지정받은 이후 매년 8월 15일이면 축제를 개최해 무궁화의 아름다움과 우수성을 알린다. 축제를 방문하는 이들에게 무궁화 화분도 선착순으로 나누어주며 관련한 음식과 전시, 체험 프로그램도 운영하니 아이들에게 우리나라의 국화에 대해 자세히 그리고 재미있게 알려줄 수 있는 뜻깊은 축제이다."
"완주곶감축제는 언제, 어디서 개최되며, 이 축제의 목적은 무엇인가요?","완숙되기 전 생감의 껍질을 깎은뒤 수분을 날리는 작업을 거쳐 만드는 곶감은 맛과 식감이 매우 달고 부드러워 겨울철 간식으로 사랑받는다. 조선시대에는 우수한 품질의 곶감을 임금님께 진상하기도 했는데 완주에서 생산되는 곶감도 진상품으로서, 훌륭함이 널리 알려져있다. 곶감이 완전히 맛이 들어 상품이 되는 매년 초겨울이면 장선천 둔치에서 축제를 열어 관광객들에게 부드러운 맛을 선물한다. 깜짝경매와 장터를 통해 합리적인 가격에 구매할 수도 있고 무료시식과 체험 프로그램을 통해 곶감을 접해볼 수 있으니 아이들과 함께 달콤한 겨울을 맞기 좋은 축제이다."
"곶감은 어떻게 생산되고 가공되며, 완주곶감축제에서 어떤 종류의 곶감을 즐길 수 있는지 설명해주세요.","완숙되기 전 생감의 껍질을 깎은뒤 수분을 날리는 작업을 거쳐 만드는 곶감은 맛과 식감이 매우 달고 부드러워 겨울철 간식으로 사랑받는다. 조선시대에는 우수한 품질의 곶감을 임금님께 진상하기도 했는데 완주에서 생산되는 곶감도 진상품으로서, 훌륭함이 널리 알려져있다. 곶감이 완전히 맛이 들어 상품이 되는 매년 초겨울이면 장선천 둔치에서 축제를 열어 관광객들에게 부드러운 맛을 선물한다. 깜짝경매와 장터를 통해 합리적인 가격에 구매할 수도 있고 무료시식과 체험 프로그램을 통해 곶감을 접해볼 수 있으니 아이들과 함께 달콤한 겨울을 맞기 좋은 축제이다."
완주곶감축제에서 관광객들은 어떻게 부드러운 곶감의 맛을 경험할 수 있을까요? 무료 시식 및 체험 프로그램이 어떤 것들이 있는지 알려주세요.,"완숙되기 전 생감의 껍질을 깎은뒤 수분을 날리는 작업을 거쳐 만드는 곶감은 맛과 식감이 매우 달고 부드러워 겨울철 간식으로 사랑받는다. 조선시대에는 우수한 품질의 곶감을 임금님께 진상하기도 했는데 완주에서 생산되는 곶감도 진상품으로서, 훌륭함이 널리 알려져있다. 곶감이 완전히 맛이 들어 상품이 되는 매년 초겨울이면 장선천 둔치에서 축제를 열어 관광객들에게 부드러운 맛을 선물한다. 깜짝경매와 장터를 통해 합리적인 가격에 구매할 수도 있고 무료시식과 체험 프로그램을 통해 곶감을 접해볼 수 있으니 아이들과 함께 달콤한 겨울을 맞기 좋은 축제이다."
